series_id,year,period,value,data_type,region,item,date
CUUR0000SA0,1989,M12,126.1,CPI (Unadjusted),National,All items,1989-12-01
CUUR0000SA0,1989,M11,125.9,CPI (Unadjusted),National,All items,1989-11-01
CUUR0000SA0,1989,M10,125.6,CPI (Unadjusted),National,All items,1989-10-01
CUUR0000SA0,1989,M09,125.0,CPI (Unadjusted),National,All items,1989-09-01
CUUR0000SA0,1989,M08,124.6,CPI (Unadjusted),National,All items,1989-08-01
CUUR0000SA0,1989,M07,124.4,CPI (Unadjusted),National,All items,1989-07-01
CUUR0000SA0,1989,M06,124.1,CPI (Unadjusted),National,All items,1989-06-01
CUUR0000SA0,1989,M05,123.8,CPI (Unadjusted),National,All items,1989-05-01
CUUR0000SA0,1989,M04,123.1,CPI (Unadjusted),National,All items,1989-04-01
CUUR0000SA0,1989,M03,122.3,CPI (Unadjusted),National,All items,1989-03-01
CUUR0000SA0,1989,M02,121.6,CPI (Unadjusted),National,All items,1989-02-01
CUUR0000SA0,1989,M01,121.1,CPI (Unadjusted),National,All items,1989-01-01
CUUR0000SA0,1988,M12,120.5,CPI (Unadjusted),National,All items,1988-12-01
CUUR0000SA0,1988,M11,120.3,CPI (Unadjusted),National,All items,1988-11-01
CUUR0000SA0,1988,M10,120.2,CPI (Unadjusted),National,All items,1988-10-01
CUUR0000SA0,1988,M09,119.8,CPI (Unadjusted),National,All items,1988-09-01
CUUR0000SA0,1988,M08,119.0,CPI (Unadjusted),National,All items,1988-08-01
CUUR0000SA0,1988,M07,118.5,CPI (Unadjusted),National,All items,1988-07-01
CUUR0000SA0,1988,M06,118.0,CPI (Unadjusted),National,All items,1988-06-01
CUUR0000SA0,1988,M05,117.5,CPI (Unadjusted),National,All items,1988-05-01
CUUR0000SA0,1988,M04,117.1,CPI (Unadjusted),National,All items,1988-04-01
CUUR0000SA0,1988,M03,116.5,CPI (Unadjusted),National,All items,1988-03-01
CUUR0000SA0,1988,M02,116.0,CPI (Unadjusted),National,All items,1988-02-01
