series id,year,period,value,region,item,date,data_type
CUUR0000SA0,1996,M03,155.7,National,All items,1996-03-01,CPI (Unadjusted)
CUUR0000SA0,1996,M02,154.9,National,All items,1996-02-01,CPI (Unadjusted)
CUUR0000SA0,1996,M01,154.4,National,All items,1996-01-01,CPI (Unadjusted)
CUUR0000SA0,1995,M12,153.5,National,All items,1995-12-01,CPI (Unadjusted)
CUUR0000SA0,1995,M11,153.6,National,All items,1995-11-01,CPI (Unadjusted)
CUUR0000SA0,1995,M10,153.7,National,All items,1995-10-01,CPI (Unadjusted)
CUUR0000SA0,1995,M09,153.2,National,All items,1995-09-01,CPI (Unadjusted)
CUUR0000SA0,1995,M08,152.9,National,All items,1995-08-01,CPI (Unadjusted)
CUUR0000SA0,1995,M07,152.5,National,All items,1995-07-01,CPI (Unadjusted)
CUUR0000SA0,1995,M06,152.5,National,All items,1995-06-01,CPI (Unadjusted)
CUUR0000SA0,1995,M05,152.2,National,All items,1995-05-01,CPI (Unadjusted)
CUUR0000SA0,1995,M04,151.9,National,All items,1995-04-01,CPI (Unadjusted)
CUUR0000SA0,1995,M03,151.4,National,All items,1995-03-01,CPI (Unadjusted)
CUUR0000SA0,1995,M02,150.9,National,All items,1995-02-01,CPI (Unadjusted)
CUUR0000SA0,1995,M01,150.3,National,All items,1995-01-01,CPI (Unadjusted)
CUUR0000SA0,1994,M12,149.7,National,All items,1994-12-01,CPI (Unadjusted)
CUUR0000SA0,1994,M11,149.7,National,All items,1994-11-01,CPI (Unadjusted)
CUUR0000SA0,1994,M10,149.5,National,All items,1994-10-01,CPI (Unadjusted)
CUUR0000SA0,1994,M09,149.4,National,All items,1994-09-01,CPI (Unadjusted)
CUUR0000SA0,1994,M08,149.0,National,All items,1994-08-01,CPI (Unadjusted)
CUUR0000SA0,1994,M07,148.4,National,All items,1994-07-01,CPI (Unadjusted)
CUUR0000SA0,1994,M06,148.0,National,All items,1994-06-01,CPI (Unadjusted)
CUUR0000SA0,1994,M05,147.5,National,All items,1994-05-01,CPI (Unadjusted)
CUUR0000SA0,1994,M04,147.4,National,All items,1994-04-01,CPI (Unadjusted)
CUUR0000SA0,1994,M03,147.2,National,All items,1994-03-01,CPI (Unadjusted)
CUUR0000SA0,1994,M02,146.7,National,All items,1994-02-01,CPI (Unadjusted)
CUUR0000SA0,1994,M01,146.2,National,All items,1994-01-01,CPI (Unadjusted)
CUUR0000SA0,1993,M12,145.8,National,All items,1993-12-01,CPI (Unadjusted)
CUUR0000SA0,1993,M11,145.8,National,All items,1993-11-01,CPI (Unadjusted)
CUUR0000SA0,1993,M10,145.7,National,All items,1993-10-01,CPI (Unadjusted)
CUUR0000SA0,1993,M09,145.1,National,All items,1993-09-01,CPI (Unadjusted)
CUUR0000SA0,1993,M08,144.8,National,All items,1993-08-01,CPI (Unadjusted)
CUUR0000SA0,1993,M07,144.4,National,All items,1993-07-01,CPI (Unadjusted)
CUUR0000SA0,1993,M06,144.4,National,All items,1993-06-01,CPI (Unadjusted)
CUUR0000SA0,1993,M05,144.2,National,All items,1993-05-01,CPI (Unadjusted)
CUUR0000SA0,1993,M04,144.0,National,All items,1993-04-01,CPI (Unadjusted)
CUUR0000SA0,1993,M03,143.6,National,All items,1993-03-01,CPI (Unadjusted)
CUUR0000SA0,1993,M02,143.1,National,All items,1993-02-01,CPI (Unadjusted)
CUUR0000SA0,1993,M01,142.6,National,All items,1993-01-01,CPI (Unadjusted)
CUUR0000SA0,1992,M12,141.9,National,All items,1992-12-01,CPI (Unadjusted)
CUUR0000SA0,1992,M11,142.0,National,All items,1992-11-01,CPI (Unadjusted)
CUUR0000SA0,1992,M10,141.8,National,All items,1992-10-01,CPI (Unadjusted)
CUUR0000SA0,1992,M09,141.3,National,All items,1992-09-01,CPI (Unadjusted)
CUUR0000SA0,1992,M08,140.9,National,All items,1992-08-01,CPI (Unadjusted)
CUUR0000SA0,1992,M07,140.5,National,All items,1992-07-01,CPI (Unadjusted)
CUUR0000SA0,1992,M06,140.2,National,All items,1992-06-01,CPI (Unadjusted)
CUUR0000SA0,1992,M05,139.7,National,All items,1992-05-01,CPI (Unadjusted)
CUUR0000SA0,1992,M04,139.5,National,All items,1992-04-01,CPI (Unadjusted)
CUUR0000SA0,1992,M03,139.3,National,All items,1992-03-01,CPI (Unadjusted)
CUUR0000SA0,1992,M02,138.6,National,All items,1992-02-01,CPI (Unadjusted)
CUUR0000SA0,1992,M01,138.1,National,All items,1992-01-01,CPI (Unadjusted)
CUUR0000SA0,1991,M12,137.9,National,All items,1991-12-01,CPI (Unadjusted)
CUUR0000SA0,1991,M11,137.8,National,All items,1991-11-01,CPI (Unadjusted)
CUUR0000SA0,1991,M10,137.4,National,All items,1991-10-01,CPI (Unadjusted)
CUUR0000SA0,1991,M09,137.2,National,All items,1991-09-01,CPI (Unadjusted)
CUUR0000SA0,1991,M08,136.6,National,All items,1991-08-01,CPI (Unadjusted)
CUUR0000SA0,1991,M07,136.2,National,All items,1991-07-01,CPI (Unadjusted)
CUUR0000SA0,1991,M06,136.0,National,All items,1991-06-01,CPI (Unadjusted)
CUUR0000SA0,1991,M05,135.6,National,All items,1991-05-01,CPI (Unadjusted)
CUUR0000SA0,1991,M04,135.2,National,All items,1991-04-01,CPI (Unadjusted)
CUUR0000SA0,1991,M03,135.0,National,All items,1991-03-01,CPI (Unadjusted)
CUUR0000SA0,1991,M02,134.8,National,All items,1991-02-01,CPI (Unadjusted)
CUUR0000SA0,1991,M01,134.6,National,All items,1991-01-01,CPI (Unadjusted)
CUUR0000SA0,1990,M12,133.8,National,All items,1990-12-01,CPI (Unadjusted)
CUUR0000SA0,1990,M11,133.8,National,All items,1990-11-01,CPI (Unadjusted)
CUUR0000SA0,1990,M10,133.5,National,All items,1990-10-01,CPI (Unadjusted)
CUUR0000SA0,1990,M09,132.7,National,All items,1990-09-01,CPI (Unadjusted)
CUUR0000SA0,1990,M08,131.6,National,All items,1990-08-01,CPI (Unadjusted)
CUUR0000SA0,1990,M07,130.4,National,All items,1990-07-01,CPI (Unadjusted)
CUUR0000SA0,1990,M06,129.9,National,All items,1990-06-01,CPI (Unadjusted)
CUUR0000SA0,1990,M05,129.2,National,All items,1990-05-01,CPI (Unadjusted)
CUUR0000SA0,1990,M04,128.9,National,All items,1990-04-01,CPI (Unadjusted)
CUUR0000SA0,1990,M03,128.7,National,All items,1990-03-01,CPI (Unadjusted)
CUUR0000SA0,1990,M02,128.0,National,All items,1990-02-01,CPI (Unadjusted)
CUUR0000SA0,1990,M01,127.4,National,All items,1990-01-01,CPI (Unadjusted)
CUUR0000SA0,1989,M12,126.1,National,All items,1989-12-01,CPI (Unadjusted)
CUUR0000SA0,1989,M11,125.9,National,All items,1989-11-01,CPI (Unadjusted)
CUUR0000SA0,1989,M10,125.6,National,All items,1989-10-01,CPI (Unadjusted)
CUUR0000SA0,1989,M09,125.0,National,All items,1989-09-01,CPI (Unadjusted)
CUUR0000SA0,1989,M08,124.6,National,All items,1989-08-01,CPI (Unadjusted)
CUUR0000SA0,1989,M07,124.4,National,All items,1989-07-01,CPI (Unadjusted)
CUUR0000SA0,1989,M06,124.1,National,All items,1989-06-01,CPI (Unadjusted)
CUUR0000SA0,1989,M05,123.8,National,All items,1989-05-01,CPI (Unadjusted)
CUUR0000SA0,1989,M04,123.1,National,All items,1989-04-01,CPI (Unadjusted)
CUUR0000SA0,1989,M03,122.3,National,All items,1989-03-01,CPI (Unadjusted)
CUUR0000SA0,1989,M02,121.6,National,All items,1989-02-01,CPI (Unadjusted)
CUUR0000SA0,1989,M01,121.1,National,All items,1989-01-01,CPI (Unadjusted)
CUUR0000SA0,1988,M12,120.5,National,All items,1988-12-01,CPI (Unadjusted)
CUUR0000SA0,1988,M11,120.3,National,All items,1988-11-01,CPI (Unadjusted)
CUUR0000SA0,1988,M10,120.2,National,All items,1988-10-01,CPI (Unadjusted)
CUUR0000SA0,1988,M09,119.8,National,All items,1988-09-01,CPI (Unadjusted)
CUUR0000SA0,1988,M08,119.0,National,All items,1988-08-01,CPI (Unadjusted)
CUUR0000SA0,1988,M07,118.5,National,All items,1988-07-01,CPI (Unadjusted)
CUUR0000SA0,1988,M06,118.0,National,All items,1988-06-01,CPI (Unadjusted)
CUUR0000SA0,1988,M05,117.5,National,All items,1988-05-01,CPI (Unadjusted)
CUUR0000SA0,1988,M04,117.1,National,All items,1988-04-01,CPI (Unadjusted)
CUUR0000SA0,1988,M03,116.5,National,All items,1988-03-01,CPI (Unadjusted)
CUUR0000SA0,1988,M02,116.0,National,All items,1988-02-01,CPI (Unadjusted)
CUUR0000SA0,1988,M01,115.7,National,All items,1988-01-01,CPI (Unadjusted)
CUUR0000SA0,1987,M12,115.4,National,All items,1987-12-01,CPI (Unadjusted)
CUUR0000SA0,1987,M11,115.4,National,All items,1987-11-01,CPI (Unadjusted)
CUUR0000SA0,1987,M10,115.3,National,All items,1987-10-01,CPI (Unadjusted)
CUUR0000SA0,1987,M09,115.0,National,All items,1987-09-01,CPI (Unadjusted)
CUUR0000SA0,1987,M08,114.4,National,All items,1987-08-01,CPI (Unadjusted)
CUUR0000SA0,1987,M07,113.8,National,All items,1987-07-01,CPI (Unadjusted)
CUUR0000SA0,1987,M06,113.5,National,All items,1987-06-01,CPI (Unadjusted)
CUUR0000SA0,1987,M05,113.1,National,All items,1987-05-01,CPI (Unadjusted)
CUUR0000SA0,1987,M04,112.7,National,All items,1987-04-01,CPI (Unadjusted)
CUUR0000SA0,1987,M03,112.1,National,All items,1987-03-01,CPI (Unadjusted)
CUUR0000SA0,1987,M02,111.6,National,All items,1987-02-01,CPI (Unadjusted)
CUUR0000SA0,1987,M01,111.2,National,All items,1987-01-01,CPI (Unadjusted)
CUUR0000SA0,1986,M12,110.5,National,All items,1986-12-01,CPI (Unadjusted)
CUUR0000SA0,1986,M11,110.4,National,All items,1986-11-01,CPI (Unadjusted)
CUUR0000SA0,1986,M10,110.3,National,All items,1986-10-01,CPI (Unadjusted)
CUUR0000SA0,1986,M09,110.2,National,All items,1986-09-01,CPI (Unadjusted)
CUUR0000SA0,1986,M08,109.7,National,All items,1986-08-01,CPI (Unadjusted)
CUUR0000SA0,1986,M07,109.5,National,All items,1986-07-01,CPI (Unadjusted)
CUUR0000SA0,1986,M06,109.5,National,All items,1986-06-01,CPI (Unadjusted)
CUUR0000SA0,1986,M05,108.9,National,All items,1986-05-01,CPI (Unadjusted)
CUUR0000SA0,1986,M04,108.6,National,All items,1986-04-01,CPI (Unadjusted)
CUUR0000SA0,1986,M03,108.8,National,All items,1986-03-01,CPI (Unadjusted)
CUUR0000SA0,1986,M02,109.3,National,All items,1986-02-01,CPI (Unadjusted)
CUUR0000SA0,1986,M01,109.6,National,All items,1986-01-01,CPI (Unadjusted)
CUUR0000SA0,1985,M12,109.3,National,All items,1985-12-01,CPI (Unadjusted)
CUUR0000SA0,1985,M11,109.0,National,All items,1985-11-01,CPI (Unadjusted)
CUUR0000SA0,1985,M10,108.7,National,All items,1985-10-01,CPI (Unadjusted)
CUUR0000SA0,1985,M09,108.3,National,All items,1985-09-01,CPI (Unadjusted)
CUUR0000SA0,1985,M08,108.0,National,All items,1985-08-01,CPI (Unadjusted)
CUUR0000SA0,1985,M07,107.8,National,All items,1985-07-01,CPI (Unadjusted)
CUUR0000SA0,1985,M06,107.6,National,All items,1985-06-01,CPI (Unadjusted)
CUUR0000SA0,1985,M05,107.3,National,All items,1985-05-01,CPI (Unadjusted)
CUUR0000SA0,1985,M04,106.9,National,All items,1985-04-01,CPI (Unadjusted)
CUUR0000SA0,1985,M03,106.4,National,All items,1985-03-01,CPI (Unadjusted)
CUUR0000SA0,1985,M02,106.0,National,All items,1985-02-01,CPI (Unadjusted)
CUUR0000SA0,1985,M01,105.5,National,All items,1985-01-01,CPI (Unadjusted)
CUUR0000SA0,1984,M12,105.3,National,All items,1984-12-01,CPI (Unadjusted)
CUUR0000SA0,1984,M11,105.3,National,All items,1984-11-01,CPI (Unadjusted)
CUUR0000SA0,1984,M10,105.3,National,All items,1984-10-01,CPI (Unadjusted)
CUUR0000SA0,1984,M09,105.0,National,All items,1984-09-01,CPI (Unadjusted)
CUUR0000SA0,1984,M08,104.5,National,All items,1984-08-01,CPI (Unadjusted)
CUUR0000SA0,1984,M07,104.1,National,All items,1984-07-01,CPI (Unadjusted)
CUUR0000SA0,1984,M06,103.7,National,All items,1984-06-01,CPI (Unadjusted)
CUUR0000SA0,1984,M05,103.4,National,All items,1984-05-01,CPI (Unadjusted)
CUUR0000SA0,1984,M04,103.1,National,All items,1984-04-01,CPI (Unadjusted)
CUUR0000SA0,1984,M03,102.6,National,All items,1984-03-01,CPI (Unadjusted)
CUUR0000SA0,1984,M02,102.4,National,All items,1984-02-01,CPI (Unadjusted)
CUUR0000SA0,1984,M01,101.9,National,All items,1984-01-01,CPI (Unadjusted)
CUUR0000SA0,1983,M12,101.3,National,All items,1983-12-01,CPI (Unadjusted)
CUUR0000SA0,1983,M11,101.2,National,All items,1983-11-01,CPI (Unadjusted)
CUUR0000SA0,1983,M10,101.0,National,All items,1983-10-01,CPI (Unadjusted)
CUUR0000SA0,1983,M09,100.7,National,All items,1983-09-01,CPI (Unadjusted)
CUUR0000SA0,1983,M08,100.2,National,All items,1983-08-01,CPI (Unadjusted)
CUUR0000SA0,1983,M07,99.9,National,All items,1983-07-01,CPI (Unadjusted)
CUUR0000SA0,1983,M06,99.5,National,All items,1983-06-01,CPI (Unadjusted)
CUUR0000SA0,1983,M05,99.2,National,All items,1983-05-01,CPI (Unadjusted)
CUUR0000SA0,1983,M04,98.6,National,All items,1983-04-01,CPI (Unadjusted)
CUUR0000SA0,1983,M03,97.9,National,All items,1983-03-01,CPI (Unadjusted)
CUUR0000SA0,1983,M02,97.9,National,All items,1983-02-01,CPI (Unadjusted)
CUUR0000SA0,1983,M01,97.8,National,All items,1983-01-01,CPI (Unadjusted)
CUUR0000SA0,1982,M12,97.6,National,All items,1982-12-01,CPI (Unadjusted)
CUUR0000SA0,1982,M11,98.0,National,All items,1982-11-01,CPI (Unadjusted)
CUUR0000SA0,1982,M10,98.2,National,All items,1982-10-01,CPI (Unadjusted)
CUUR0000SA0,1982,M09,97.9,National,All items,1982-09-01,CPI (Unadjusted)
CUUR0000SA0,1982,M08,97.7,National,All items,1982-08-01,CPI (Unadjusted)
CUUR0000SA0,1982,M07,97.5,National,All items,1982-07-01,CPI (Unadjusted)
CUUR0000SA0,1982,M06,97.0,National,All items,1982-06-01,CPI (Unadjusted)
CUUR0000SA0,1982,M05,95.8,National,All items,1982-05-01,CPI (Unadjusted)
CUUR0000SA0,1982,M04,94.9,National,All items,1982-04-01,CPI (Unadjusted)
CUUR0000SA0,1982,M03,94.5,National,All items,1982-03-01,CPI (Unadjusted)
CUUR0000SA0,1982,M02,94.6,National,All items,1982-02-01,CPI (Unadjusted)
CUUR0000SA0,1982,M01,94.3,National,All items,1982-01-01,CPI (Unadjusted)
CUUR0000SA0,1981,M12,94.0,National,All items,1981-12-01,CPI (Unadjusted)
CUUR0000SA0,1981,M11,93.7,National,All items,1981-11-01,CPI (Unadjusted)
CUUR0000SA0,1981,M10,93.4,National,All items,1981-10-01,CPI (Unadjusted)
CUUR0000SA0,1981,M09,93.2,National,All items,1981-09-01,CPI (Unadjusted)
CUUR0000SA0,1981,M08,92.3,National,All items,1981-08-01,CPI (Unadjusted)
CUUR0000SA0,1981,M07,91.6,National,All items,1981-07-01,CPI (Unadjusted)
CUUR0000SA0,1981,M06,90.6,National,All items,1981-06-01,CPI (Unadjusted)
CUUR0000SA0,1981,M05,89.8,National,All items,1981-05-01,CPI (Unadjusted)
CUUR0000SA0,1981,M04,89.1,National,All items,1981-04-01,CPI (Unadjusted)
CUUR0000SA0,1981,M03,88.5,National,All items,1981-03-01,CPI (Unadjusted)
CUUR0000SA0,1981,M02,87.9,National,All items,1981-02-01,CPI (Unadjusted)
CUUR0000SA0,1981,M01,87.0,National,All items,1981-01-01,CPI (Unadjusted)
CUUR0000SA0,1980,M12,86.3,National,All items,1980-12-01,CPI (Unadjusted)
CUUR0000SA0,1980,M11,85.5,National,All items,1980-11-01,CPI (Unadjusted)
CUUR0000SA0,1980,M10,84.8,National,All items,1980-10-01,CPI (Unadjusted)
CUUR0000SA0,1980,M09,84.0,National,All items,1980-09-01,CPI (Unadjusted)
CUUR0000SA0,1980,M08,83.3,National,All items,1980-08-01,CPI (Unadjusted)
CUUR0000SA0,1980,M07,82.7,National,All items,1980-07-01,CPI (Unadjusted)
CUUR0000SA0,1980,M06,82.7,National,All items,1980-06-01,CPI (Unadjusted)
CUUR0000SA0,1980,M05,81.8,National,All items,1980-05-01,CPI (Unadjusted)
CUUR0000SA0,1980,M04,81.0,National,All items,1980-04-01,CPI (Unadjusted)
CUUR0000SA0,1980,M03,80.1,National,All items,1980-03-01,CPI (Unadjusted)
CUUR0000SA0,1980,M02,78.9,National,All items,1980-02-01,CPI (Unadjusted)
CUUR0000SA0,1980,M01,77.8,National,All items,1980-01-01,CPI (Unadjusted)
CUUR0000SA0,1979,M12,76.7,National,All items,1979-12-01,CPI (Unadjusted)
CUUR0000SA0,1979,M11,75.9,National,All items,1979-11-01,CPI (Unadjusted)
CUUR0000SA0,1979,M10,75.2,National,All items,1979-10-01,CPI (Unadjusted)
CUUR0000SA0,1979,M09,74.6,National,All items,1979-09-01,CPI (Unadjusted)
CUUR0000SA0,1979,M08,73.8,National,All items,1979-08-01,CPI (Unadjusted)
CUUR0000SA0,1979,M07,73.1,National,All items,1979-07-01,CPI (Unadjusted)
CUUR0000SA0,1979,M06,72.3,National,All items,1979-06-01,CPI (Unadjusted)
CUUR0000SA0,1979,M05,71.5,National,All items,1979-05-01,CPI (Unadjusted)
CUUR0000SA0,1979,M04,70.6,National,All items,1979-04-01,CPI (Unadjusted)
CUUR0000SA0,1979,M03,69.8,National,All items,1979-03-01,CPI (Unadjusted)
CUUR0000SA0,1979,M02,69.1,National,All items,1979-02-01,CPI (Unadjusted)
CUUR0000SA0,1979,M01,68.3,National,All items,1979-01-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M12,174.8,National,Core CPI (excludes food & energy),1998-12-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M11,174.8,National,Core CPI (excludes food & energy),1998-11-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M10,174.7,National,Core CPI (excludes food & energy),1998-10-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M09,174.2,National,Core CPI (excludes food & energy),1998-09-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M08,173.8,National,Core CPI (excludes food & energy),1998-08-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M07,173.3,National,Core CPI (excludes food & energy),1998-07-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M06,173.0,National,Core CPI (excludes food & energy),1998-06-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M05,173.1,National,Core CPI (excludes food & energy),1998-05-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M04,173.0,National,Core CPI (excludes food & energy),1998-04-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M03,172.6,National,Core CPI (excludes food & energy),1998-03-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M02,172.1,National,Core CPI (excludes food & energy),1998-02-01,CPI (Unadjusted)
CUUR0000SA0L1E,1998,M01,171.2,National,Core CPI (excludes food & energy),1998-01-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M12,170.7,National,Core CPI (excludes food & energy),1997-12-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M11,170.8,National,Core CPI (excludes food & energy),1997-11-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M10,170.8,National,Core CPI (excludes food & energy),1997-10-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M09,170.0,National,Core CPI (excludes food & energy),1997-09-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M08,169.6,National,Core CPI (excludes food & energy),1997-08-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M07,169.5,National,Core CPI (excludes food & energy),1997-07-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M06,169.2,National,Core CPI (excludes food & energy),1997-06-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M05,169.3,National,Core CPI (excludes food & energy),1997-05-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M04,169.4,National,Core CPI (excludes food & energy),1997-04-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M03,169.0,National,Core CPI (excludes food & energy),1997-03-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M02,168.3,National,Core CPI (excludes food & energy),1997-02-01,CPI (Unadjusted)
CUUR0000SA0L1E,1997,M01,167.5,National,Core CPI (excludes food & energy),1997-01-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M12,167.0,National,Core CPI (excludes food & energy),1996-12-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M11,167.2,National,Core CPI (excludes food & energy),1996-11-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M10,167.0,National,Core CPI (excludes food & energy),1996-10-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M09,166.4,National,Core CPI (excludes food & energy),1996-09-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M08,165.8,National,Core CPI (excludes food & energy),1996-08-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M07,165.5,National,Core CPI (excludes food & energy),1996-07-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M06,165.2,National,Core CPI (excludes food & energy),1996-06-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M05,165.1,National,Core CPI (excludes food & energy),1996-05-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M04,165.0,National,Core CPI (excludes food & energy),1996-04-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M03,164.9,National,Core CPI (excludes food & energy),1996-03-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M02,164.2,National,Core CPI (excludes food & energy),1996-02-01,CPI (Unadjusted)
CUUR0000SA0L1E,1996,M01,163.4,National,Core CPI (excludes food & energy),1996-01-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M12,162.7,National,Core CPI (excludes food & energy),1995-12-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M11,163.0,National,Core CPI (excludes food & energy),1995-11-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M10,162.8,National,Core CPI (excludes food & energy),1995-10-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M09,162.1,National,Core CPI (excludes food & energy),1995-09-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M08,161.6,National,Core CPI (excludes food & energy),1995-08-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M07,161.1,National,Core CPI (excludes food & energy),1995-07-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M06,160.9,National,Core CPI (excludes food & energy),1995-06-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M05,160.8,National,Core CPI (excludes food & energy),1995-05-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M04,160.7,National,Core CPI (excludes food & energy),1995-04-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M03,160.4,National,Core CPI (excludes food & energy),1995-03-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M02,159.6,National,Core CPI (excludes food & energy),1995-02-01,CPI (Unadjusted)
CUUR0000SA0L1E,1995,M01,158.7,National,Core CPI (excludes food & energy),1995-01-01,CPI (Unadjusted)
CUUR0000SA0L1E,1994,M12,157.9,National,Core CPI (excludes food & energy),1994-12-01,CPI (Unadjusted)
CUUR0000SA0L1E,1994,M11,158.2,National,Core CPI (excludes food & energy),1994-11-01,CPI (Unadjusted)
CUUR0000SA0L1E,1994,M10,158.0,National,Core CPI (excludes food & energy),1994-10-01,CPI (Unadjusted)
CUUR0000SA0L1E,1994,M09,157.5,National,Core CPI (excludes food & energy),1994-09-01,CPI (Unadjusted)
CUUR0000SA0L1E,1994,M08,157.0,National,Core CPI (excludes food & energy),1994-08-01,CPI (Unadjusted)
CUUR0000SA0L1E,1994,M07,156.4,National,Core CPI (excludes food & energy),1994-07-01,CPI (Unadjusted)
CUUR0000SA0L1E,1994,M06,156.2,National,Core CPI (excludes food & energy),1994-06-01,CPI (Unadjusted)
CUUR0000SA0L1E,1994,M05,156.0,National,Core CPI (excludes food & energy),1994-05-01,CPI (Unadjusted)
CUUR0000SA0L1E,1994,M04,155.9,National,Core CPI (excludes food & energy),1994-04-01,CPI (Unadjusted)
CUUR0000SA0L1E,1994,M03,155.8,National,Core CPI (excludes food & energy),1994-03-01,CPI (Unadjusted)
